id,question_code,question,closed_answer,enps_month
203,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,6
204,ABC4,I would recommend my direct manager to others,1,8
205,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,1
206,ABC6,I have confidence in the leadership team,1,9
207,ABC7,I have good career opportunities at this organization,0,0
208,ABC8,The work that I do at this organization is meaningful to me,0,9
209,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,9
210,ABC10,I enjoy the colleagues I work with,1,3
211,ABC1,I have the resources I need to do my job well,0,8
212,ABC2,I am able to successfully balance my work and personal life,0,1
213,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,6
214,ABC4,I would recommend my direct manager to others,0,1
215,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,1
216,ABC6,I have confidence in the leadership team,0,1
217,ABC7,I have good career opportunities at this organization,0,6
218,ABC8,The work that I do at this organization is meaningful to me,1,1
219,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,1
220,ABC10,I enjoy the colleagues I work with,0,7
221,ABC1,I have the resources I need to do my job well,1,10
222,ABC2,I am able to successfully balance my work and personal life,0,5
223,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,7
224,ABC4,I would recommend my direct manager to others,1,2
225,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,7
226,ABC6,I have confidence in the leadership team,0,10
227,ABC7,I have good career opportunities at this organization,1,5
228,ABC8,The work that I do at this organization is meaningful to me,0,9
229,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,5
230,ABC10,I enjoy the colleagues I work with,0,9
231,ABC1,I have the resources I need to do my job well,1,8
232,ABC2,I am able to successfully balance my work and personal life,1,6
233,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,6
234,ABC4,I would recommend my direct manager to others,1,3
235,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,4
236,ABC6,I have confidence in the leadership team,1,1
237,ABC7,I have good career opportunities at this organization,0,7
238,ABC8,The work that I do at this organization is meaningful to me,0,0
239,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,8
240,ABC10,I enjoy the colleagues I work with,0,2
241,ABC1,I have the resources I need to do my job well,1,0
242,ABC2,I am able to successfully balance my work and personal life,1,0
243,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,9
244,ABC4,I would recommend my direct manager to others,0,8
245,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,4
246,ABC6,I have confidence in the leadership team,0,4
247,ABC7,I have good career opportunities at this organization,0,2
248,ABC8,The work that I do at this organization is meaningful to me,1,2
249,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,9
250,ABC10,I enjoy the colleagues I work with,1,1
251,ABC1,I have the resources I need to do my job well,0,0
252,ABC2,I am able to successfully balance my work and personal life,1,6
253,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,6
254,ABC4,I would recommend my direct manager to others,0,9
255,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,5
256,ABC6,I have confidence in the leadership team,0,7
257,ABC7,I have good career opportunities at this organization,0,10
258,ABC8,The work that I do at this organization is meaningful to me,0,0
259,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,0
260,ABC10,I enjoy the colleagues I work with,1,3
261,ABC1,I have the resources I need to do my job well,1,0
262,ABC2,I am able to successfully balance my work and personal life,0,6
263,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,8
264,ABC4,I would recommend my direct manager to others,1,2
265,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,2
266,ABC6,I have confidence in the leadership team,1,1
267,ABC7,I have good career opportunities at this organization,1,8
268,ABC8,The work that I do at this organization is meaningful to me,1,9
269,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,0
270,ABC10,I enjoy the colleagues I work with,1,6
271,ABC1,I have the resources I need to do my job well,1,2
272,ABC2,I am able to successfully balance my work and personal life,0,5
273,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,4
274,ABC4,I would recommend my direct manager to others,0,7
275,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,4
276,ABC6,I have confidence in the leadership team,1,2
277,ABC7,I have good career opportunities at this organization,0,1
278,ABC8,The work that I do at this organization is meaningful to me,0,2
279,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,6
280,ABC10,I enjoy the colleagues I work with,0,5
281,ABC1,I have the resources I need to do my job well,0,1
282,ABC2,I am able to successfully balance my work and personal life,0,3
283,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,0
284,ABC4,I would recommend my direct manager to others,0,5
285,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,1
286,ABC6,I have confidence in the leadership team,1,10
287,ABC7,I have good career opportunities at this organization,0,8
288,ABC8,The work that I do at this organization is meaningful to me,1,3
289,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,7
290,ABC10,I enjoy the colleagues I work with,0,9
291,ABC1,I have the resources I need to do my job well,0,1
292,ABC2,I am able to successfully balance my work and personal life,1,9
293,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,7
294,ABC4,I would recommend my direct manager to others,1,0
295,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,8
296,ABC6,I have confidence in the leadership team,1,0
297,ABC7,I have good career opportunities at this organization,0,6
298,ABC8,The work that I do at this organization is meaningful to me,0,3
299,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,1
300,ABC10,I enjoy the colleagues I work with,0,4
301,ABC1,I have the resources I need to do my job well,1,0
302,ABC2,I am able to successfully balance my work and personal life,1,1
303,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,10
304,ABC4,I would recommend my direct manager to others,1,2
305,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,1
306,ABC6,I have confidence in the leadership team,1,8
307,ABC7,I have good career opportunities at this organization,0,2
308,ABC8,The work that I do at this organization is meaningful to me,1,1
309,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,6
310,ABC10,I enjoy the colleagues I work with,1,0
311,ABC1,I have the resources I need to do my job well,0,0
312,ABC2,I am able to successfully balance my work and personal life,0,6
313,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,9
314,ABC4,I would recommend my direct manager to others,1,3
315,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,4
316,ABC6,I have confidence in the leadership team,0,3
317,ABC7,I have good career opportunities at this organization,1,1
318,ABC8,The work that I do at this organization is meaningful to me,1,0
319,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,2
320,ABC10,I enjoy the colleagues I work with,0,0
321,ABC1,I have the resources I need to do my job well,0,0
322,ABC2,I am able to successfully balance my work and personal life,0,10
323,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,8
324,ABC4,I would recommend my direct manager to others,0,2
325,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,9
326,ABC6,I have confidence in the leadership team,1,6
327,ABC7,I have good career opportunities at this organization,1,9
328,ABC8,The work that I do at this organization is meaningful to me,0,7
329,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,10
330,ABC10,I enjoy the colleagues I work with,0,3
331,ABC1,I have the resources I need to do my job well,1,8
332,ABC2,I am able to successfully balance my work and personal life,1,9
333,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,3
334,ABC4,I would recommend my direct manager to others,0,6
335,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,1
336,ABC6,I have confidence in the leadership team,1,5
337,ABC7,I have good career opportunities at this organization,1,3
338,ABC8,The work that I do at this organization is meaningful to me,0,10
339,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,9
340,ABC10,I enjoy the colleagues I work with,0,10
341,ABC1,I have the resources I need to do my job well,0,2
342,ABC2,I am able to successfully balance my work and personal life,1,0
343,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,9
344,ABC4,I would recommend my direct manager to others,0,3
345,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,4
346,ABC6,I have confidence in the leadership team,0,1
347,ABC7,I have good career opportunities at this organization,0,8
348,ABC8,The work that I do at this organization is meaningful to me,1,3
349,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,7
350,ABC10,I enjoy the colleagues I work with,1,5
351,ABC1,I have the resources I need to do my job well,1,9
352,ABC2,I am able to successfully balance my work and personal life,0,7
353,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,4
354,ABC4,I would recommend my direct manager to others,0,0
355,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,3
356,ABC6,I have confidence in the leadership team,1,0
357,ABC7,I have good career opportunities at this organization,1,1
358,ABC8,The work that I do at this organization is meaningful to me,0,9
359,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,0
360,ABC10,I enjoy the colleagues I work with,1,7
361,ABC1,I have the resources I need to do my job well,0,1
362,ABC2,I am able to successfully balance my work and personal life,0,1
363,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,6
364,ABC4,I would recommend my direct manager to others,1,4
365,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,8
366,ABC6,I have confidence in the leadership team,0,2
367,ABC7,I have good career opportunities at this organization,1,0
368,ABC8,The work that I do at this organization is meaningful to me,1,3
369,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,5
370,ABC10,I enjoy the colleagues I work with,0,2
371,ABC1,I have the resources I need to do my job well,0,1
372,ABC2,I am able to successfully balance my work and personal life,1,9
373,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,4
374,ABC4,I would recommend my direct manager to others,0,7
375,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,5
376,ABC6,I have confidence in the leadership team,1,9
377,ABC7,I have good career opportunities at this organization,1,7
378,ABC8,The work that I do at this organization is meaningful to me,1,10
379,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,10
380,ABC10,I enjoy the colleagues I work with,1,0
381,ABC1,I have the resources I need to do my job well,1,0
382,ABC2,I am able to successfully balance my work and personal life,0,6
383,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,9
384,ABC4,I would recommend my direct manager to others,1,2
385,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,1
386,ABC6,I have confidence in the leadership team,1,10
387,ABC7,I have good career opportunities at this organization,0,5
388,ABC8,The work that I do at this organization is meaningful to me,1,9
389,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,1
390,ABC10,I enjoy the colleagues I work with,0,6
391,ABC1,I have the resources I need to do my job well,0,5
392,ABC2,I am able to successfully balance my work and personal life,0,10
393,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,3
394,ABC4,I would recommend my direct manager to others,1,2
395,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,2
396,ABC6,I have confidence in the leadership team,1,9
397,ABC7,I have good career opportunities at this organization,0,5
398,ABC8,The work that I do at this organization is meaningful to me,0,4
399,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,9
400,ABC10,I enjoy the colleagues I work with,0,2
401,ABC1,I have the resources I need to do my job well,0,7
402,ABC2,I am able to successfully balance my work and personal life,1,5
403,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,4
404,ABC4,I would recommend my direct manager to others,1,9
405,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,6
406,ABC6,I have confidence in the leadership team,0,9
407,ABC7,I have good career opportunities at this organization,0,8
408,ABC8,The work that I do at this organization is meaningful to me,0,1
409,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,2
410,ABC10,I enjoy the colleagues I work with,0,2
411,ABC1,I have the resources I need to do my job well,1,10
412,ABC2,I am able to successfully balance my work and personal life,1,1
413,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,6
414,ABC4,I would recommend my direct manager to others,0,9
415,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,8
416,ABC6,I have confidence in the leadership team,1,2
417,ABC7,I have good career opportunities at this organization,0,4
418,ABC8,The work that I do at this organization is meaningful to me,0,0
419,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,1
420,ABC10,I enjoy the colleagues I work with,1,9
421,ABC1,I have the resources I need to do my job well,0,2
422,ABC2,I am able to successfully balance my work and personal life,0,2
423,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,5
424,ABC4,I would recommend my direct manager to others,0,1
425,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,5
426,ABC6,I have confidence in the leadership team,0,6
427,ABC7,I have good career opportunities at this organization,0,4
428,ABC8,The work that I do at this organization is meaningful to me,1,1
429,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,5
430,ABC10,I enjoy the colleagues I work with,1,5
431,ABC1,I have the resources I need to do my job well,0,4
432,ABC2,I am able to successfully balance my work and personal life,0,4
433,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,3
434,ABC4,I would recommend my direct manager to others,1,3
435,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,0
436,ABC6,I have confidence in the leadership team,0,9
437,ABC7,I have good career opportunities at this organization,1,2
438,ABC8,The work that I do at this organization is meaningful to me,0,3
439,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,8
440,ABC10,I enjoy the colleagues I work with,0,2
441,ABC1,I have the resources I need to do my job well,0,0
442,ABC2,I am able to successfully balance my work and personal life,1,7
443,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,9
444,ABC4,I would recommend my direct manager to others,0,8
445,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,8
446,ABC6,I have confidence in the leadership team,1,7
447,ABC7,I have good career opportunities at this organization,0,0
448,ABC8,The work that I do at this organization is meaningful to me,1,7
449,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,2
450,ABC10,I enjoy the colleagues I work with,1,6
451,ABC1,I have the resources I need to do my job well,0,9
452,ABC2,I am able to successfully balance my work and personal life,1,2
453,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,2
454,ABC4,I would recommend my direct manager to others,0,2
455,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,10
456,ABC6,I have confidence in the leadership team,1,8
457,ABC7,I have good career opportunities at this organization,0,0
458,ABC8,The work that I do at this organization is meaningful to me,1,0
459,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,7
460,ABC10,I enjoy the colleagues I work with,1,10
461,ABC1,I have the resources I need to do my job well,1,5
462,ABC2,I am able to successfully balance my work and personal life,1,1
463,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,3
464,ABC4,I would recommend my direct manager to others,1,8
465,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,4
466,ABC6,I have confidence in the leadership team,0,6
467,ABC7,I have good career opportunities at this organization,1,3
468,ABC8,The work that I do at this organization is meaningful to me,0,2
469,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,0
470,ABC10,I enjoy the colleagues I work with,1,2
471,ABC1,I have the resources I need to do my job well,0,9
472,ABC2,I am able to successfully balance my work and personal life,0,0
473,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,10
474,ABC4,I would recommend my direct manager to others,0,4
475,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,4
476,ABC6,I have confidence in the leadership team,1,1
477,ABC7,I have good career opportunities at this organization,0,6
478,ABC8,The work that I do at this organization is meaningful to me,1,0
479,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,1
480,ABC10,I enjoy the colleagues I work with,0,0
481,ABC1,I have the resources I need to do my job well,1,4
482,ABC2,I am able to successfully balance my work and personal life,1,6
483,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,9
484,ABC4,I would recommend my direct manager to others,1,4
485,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,2
486,ABC6,I have confidence in the leadership team,1,2
487,ABC7,I have good career opportunities at this organization,0,10
488,ABC8,The work that I do at this organization is meaningful to me,1,8
489,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,9
490,ABC10,I enjoy the colleagues I work with,1,0
491,ABC1,I have the resources I need to do my job well,0,9
492,ABC2,I am able to successfully balance my work and personal life,1,6
493,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,5
494,ABC4,I would recommend my direct manager to others,1,4
495,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,3
496,ABC6,I have confidence in the leadership team,1,5
497,ABC7,I have good career opportunities at this organization,1,2
498,ABC8,The work that I do at this organization is meaningful to me,0,0
499,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,6
500,ABC10,I enjoy the colleagues I work with,0,6
501,ABC1,I have the resources I need to do my job well,1,8
502,ABC2,I am able to successfully balance my work and personal life,1,4
503,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,3
504,ABC4,I would recommend my direct manager to others,0,2
505,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,5
506,ABC6,I have confidence in the leadership team,0,8
507,ABC7,I have good career opportunities at this organization,1,7
